db,b,h_x,h_y,P2,parameters,reason
0.0,4.0,0.0,0.0,0.1250000002746819,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",stagnation
0.10204081632653061,4.0,0.0,0.0,0.12500000029165423,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",stagnation
0.20408163265306123,4.0,0.0,0.0,0.12500000026491914,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",stagnation
0.30612244897959184,4.0,0.0,0.0,0.1250000002757705,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",stagnation
0.40816326530612246,4.0,0.0,0.0,0.12500000026746427,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",stagnation
0.5102040816326531,4.0,0.0,0.0,0.12500000029216635,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",stagnation
0.6122448979591837,4.0,0.0,0.0,0.125000000265837,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",stagnation
0.7142857142857143,4.0,0.0,0.0,0.1250000002703158,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",stagnation
0.8163265306122449,4.0,0.0,0.0,0.125000000292304,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",stagnation
0.9183673469387755,4.0,0.0,0.0,0.12500000029350847,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",stagnation
1.0204081632653061,4.0,0.0,0.0,0.1250000003157953,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",stagnation
1.1224489795918366,4.0,0.0,0.0,0.12500000030442895,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",stagnation
1.2244897959183674,4.0,0.0,0.0,0.12500000026788463,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",stagnation
1.3265306122448979,4.0,0.0,0.0,0.12500000030144826,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",stagnation
1.4285714285714286,4.0,0.0,0.0,0.12500000029762026,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",stagnation
1.530612244897959,4.0,0.0,0.0,0.12500000026522015,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",stagnation
1.6326530612244898,4.0,0.0,0.0,0.12500000028795252,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",stagnation
1.7346938775510203,4.0,0.08699748009832234,0.05188902775586617,0.11961883199178878,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
1.836734693877551,4.0,0.14860523968793202,0.09441893666133866,0.11630000857266609,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
1.9387755102040816,4.0,0.1872907475142136,0.11928832462871904,0.1141721079301387,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
2.0408163265306123,4.0,0.21714373746959062,0.13733963915587782,0.11243243486753064,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
2.142857142857143,4.0,0.2419911085676692,0.15152382877741463,0.11089120654098558,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
2.2448979591836733,4.0,0.2634776172430337,0.16305461559671716,0.10947543264891553,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
2.3469387755102042,4.0,0.2824836602614786,0.17259795338439837,0.10814906747416685,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
2.4489795918367347,4.0,0.2995881720262205,0.18061334207931942,0.10689027218302417,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
2.5510204081632653,4.0,0.3151815366686417,0.18741942503124623,0.10568528582003997,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
2.6530612244897958,4.0,0.3295394380136673,0.19324739939859248,0.10452492174440316,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
2.7551020408163267,4.0,0.34286482866156415,0.19827038512630685,0.10340274657756161,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
2.857142857142857,4.0,0.35531298866575045,0.2026206544047616,0.10231407257031752,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
2.9591836734693877,4.0,0.36700400093993923,0.20640135752650166,0.10125539637047612,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
3.061224489795918,4.0,0.3780337734138035,0.20969430477539577,0.10022400971889704,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
3.163265306122449,4.0,0.38848002421884337,0.2125655070155602,0.09921776714979332,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
3.2653061224489797,4.0,0.398407564573372,0.21506896300683606,0.09823491912386498,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
3.36734693877551,4.0,0.40786916247031796,0.21724971627933004,0.097274028037014,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
3.4693877551020407,4.0,0.41691096175019293,0.21914547715630214,0.09633386264924376,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
3.5714285714285716,4.0,0.4255712644523968,0.22078842779763955,0.09541337456481927,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
3.673469387755102,4.0,0.43388336315586545,0.22220613529512484,0.09451164509028033,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
3.7755102040816326,4.0,0.44187605819972475,0.22342243360108574,0.09362786231011959,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
3.877551020408163,4.0,0.4495759436909287,0.22445796073899293,0.09276128704745212,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.3437790541783129, ""h_x"" => 0.3437790541783129, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.1861078821663106, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.6, ""b_x"" => 6, ""h_y"" => 0.1861078821663106, ""b_y"" => 11.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
