db,b,h_x,h_y,P2,parameters,reason
0.0,3.0,0.31022669925406215,0.3068089223988078,0.1843413443900096,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.3552755227983533, ""h_x"" => 0.3552755227983533, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.27642323576087074, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.27642323576087074, ""b_y"" => 9.0, ""s_x"" => 0.45, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
0.5,3.0,0.45743634992784854,0.3904789681606952,0.17557971519498017,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.3552755227983533, ""h_x"" => 0.3552755227983533, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.27642323576087074, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.27642323576087074, ""b_y"" => 9.0, ""s_x"" => 0.45, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
1.0,3.0,0.5605491170417364,0.4208168849978204,0.16536094078739388,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.3552755227983533, ""h_x"" => 0.3552755227983533, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.27642323576087074, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.27642323576087074, ""b_y"" => 9.0, ""s_x"" => 0.45, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
1.5,3.0,0.6408114894366304,0.42812138480989986,0.15531059056066987,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.3552755227983533, ""h_x"" => 0.3552755227983533, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.27642323576087074, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.27642323576087074, ""b_y"" => 9.0, ""s_x"" => 0.45, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
2.0,3.0,0.7059044616937988,0.4243784917929131,0.14591594637158647,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.3552755227983533, ""h_x"" => 0.3552755227983533, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.27642323576087074, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.27642323576087074, ""b_y"" => 9.0, ""s_x"" => 0.45, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
0.0,4.0,0.3071884553777865,0.30614784327559,0.13682662456233527,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.3552755227983533, ""h_x"" => 0.3552755227983533, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.27642323576087074, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.27642323576087074, ""b_y"" => 9.0, ""s_x"" => 0.45, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
0.5,4.0,0.39466847773273706,0.35021568416243587,0.13113372315898633,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.3552755227983533, ""h_x"" => 0.3552755227983533, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.27642323576087074, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.27642323576087074, ""b_y"" => 9.0, ""s_x"" => 0.45, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
1.0,4.0,0.4599711762483741,0.36804882349672774,0.12502200827922236,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.3552755227983533, ""h_x"" => 0.3552755227983533, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.27642323576087074, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.27642323576087074, ""b_y"" => 9.0, ""s_x"" => 0.45, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
1.5,4.0,0.5124497200613027,0.37307469473937377,0.11902698648829965,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.3552755227983533, ""h_x"" => 0.3552755227983533, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.27642323576087074, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.27642323576087074, ""b_y"" => 9.0, ""s_x"" => 0.45, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
2.0,4.0,0.5560428549132327,0.37108927300903155,0.11333731529787917,"Dict{String, Real}(""s_u"" => 0.45, ""h_x_bar"" => 0.3552755227983533, ""h_x"" => 0.3552755227983533, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.27642323576087074, ""M"" => 1, ""phi"" => 0.1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.27642323576087074, ""b_y"" => 9.0, ""s_x"" => 0.45, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
