db,phi,h_x,h_y,cost,GA,parameters,reason
0.0,0.0,0.0,0.0,-1.2499999946513629e-5,0.1666666664927233,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.8341251495794946, ""h_x"" => 0.8341251495794946, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.50125878636114, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.6, ""b_x"" => 3, ""h_y"" => 0.50125878636114, ""b_y"" => 5.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",stagnation
0.5,0.0,0.0,0.0,-1.2500000031723246e-5,0.16666666435666994,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.8341251495794946, ""h_x"" => 0.8341251495794946, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.50125878636114, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.6, ""b_x"" => 3, ""h_y"" => 0.50125878636114, ""b_y"" => 5.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",stagnation
1.0,0.0,0.0,0.0,-1.2500000057785732e-5,0.1666666671056617,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.8341251495794946, ""h_x"" => 0.8341251495794946, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.50125878636114, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.6, ""b_x"" => 3, ""h_y"" => 0.50125878636114, ""b_y"" => 5.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",stagnation
1.5,0.0,0.0,0.0,-1.2499999960641217e-5,0.1666666685729186,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.8341251495794946, ""h_x"" => 0.8341251495794946, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.50125878636114, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.6, ""b_x"" => 3, ""h_y"" => 0.50125878636114, ""b_y"" => 5.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",stagnation
2.0,0.0,1.449604325465259e-11,0.0,-1.249999996533191e-5,0.16666666840026173,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.8341251495794946, ""h_x"" => 0.8341251495794946, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.50125878636114, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.6, ""b_x"" => 3, ""h_y"" => 0.50125878636114, ""b_y"" => 5.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
0.0,0.25,0.0,0.0,-1.2499999966386621e-5,0.16666666890464688,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.8341251495794946, ""h_x"" => 0.8341251495794946, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.50125878636114, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.6, ""b_x"" => 3, ""h_y"" => 0.50125878636114, ""b_y"" => 5.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",stagnation
0.5,0.25,0.0,0.0,-1.2499999932497063e-5,0.16666666569546573,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.8341251495794946, ""h_x"" => 0.8341251495794946, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.50125878636114, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.6, ""b_x"" => 3, ""h_y"" => 0.50125878636114, ""b_y"" => 5.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",stagnation
1.0,0.25,0.0,0.0,-1.249999996394413e-5,0.16666666829845278,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.8341251495794946, ""h_x"" => 0.8341251495794946, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.50125878636114, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.6, ""b_x"" => 3, ""h_y"" => 0.50125878636114, ""b_y"" => 5.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",stagnation
1.5,0.25,0.3661703464667347,0.24399708227026823,-5.396169578508747e-6,0.14545729569151156,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.8341251495794946, ""h_x"" => 0.8341251495794946, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.50125878636114, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.6, ""b_x"" => 3, ""h_y"" => 0.50125878636114, ""b_y"" => 5.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
2.0,0.25,0.4824280234924871,0.2901722298836982,-4.717745184679156e-6,0.13445256260124036,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.8341251495794946, ""h_x"" => 0.8341251495794946, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.50125878636114, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.6, ""b_x"" => 3, ""h_y"" => 0.50125878636114, ""b_y"" => 5.0, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
