db,phi,h_x,h_y,cost,GA,parameters,reason
2.0,0.0,1.4394735403655545e-11,0.0,-1.2500000060949867e-5,0.16666666731837365,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.6927225774832113, ""h_x"" => 0.6927225774832113, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.2970631026477437, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.5, ""b_x"" => 3, ""h_y"" => 0.2970631026477437, ""b_y"" => 7, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
2.0,0.1111111111111111,0.06969060370679747,0.04091152278089759,-1.1760209168376612e-5,0.1578657901646693,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.6927225774832113, ""h_x"" => 0.6927225774832113, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.2970631026477437, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.5, ""b_x"" => 3, ""h_y"" => 0.2970631026477437, ""b_y"" => 7, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
2.0,0.2222222222222222,0.13347571056132784,0.07962180899459277,-1.1045904274198382e-5,0.15176255907198616,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.6927225774832113, ""h_x"" => 0.6927225774832113, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.2970631026477437, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.5, ""b_x"" => 3, ""h_y"" => 0.2970631026477437, ""b_y"" => 7, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
2.0,0.3333333333333333,0.19152660563751828,0.11461441597590405,-1.0415935720431424e-5,0.14738931969643423,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.6927225774832113, ""h_x"" => 0.6927225774832113, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.2970631026477437, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.5, ""b_x"" => 3, ""h_y"" => 0.2970631026477437, ""b_y"" => 7, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
2.0,0.4444444444444444,0.244825634623449,0.14672536108977866,-9.869926746175484e-6,0.1440996097852533,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.6927225774832113, ""h_x"" => 0.6927225774832113, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.2970631026477437, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.5, ""b_x"" => 3, ""h_y"" => 0.2970631026477437, ""b_y"" => 7, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
2.0,0.5555555555555556,0.2942041779850943,0.1765437172217702,-9.396478895362659e-6,0.1415252282925401,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.6927225774832113, ""h_x"" => 0.6927225774832113, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.2970631026477437, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.5, ""b_x"" => 3, ""h_y"" => 0.2970631026477437, ""b_y"" => 7, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
2.0,0.6666666666666666,0.3401935325094544,0.20425719409176069,-8.984889753399505e-6,0.1394533049514179,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.6927225774832113, ""h_x"" => 0.6927225774832113, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.2970631026477437, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.5, ""b_x"" => 3, ""h_y"" => 0.2970631026477437, ""b_y"" => 7, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
2.0,0.7777777777777778,0.38320166465557554,0.2301191792354154,-8.624726880263056e-6,0.13774268045876575,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.6927225774832113, ""h_x"" => 0.6927225774832113, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.2970631026477437, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.5, ""b_x"" => 3, ""h_y"" => 0.2970631026477437, ""b_y"" => 7, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
2.0,0.8888888888888888,0.42359814239872223,0.2543837287766899,-8.306780897249233e-6,0.13629718748522768,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.6927225774832113, ""h_x"" => 0.6927225774832113, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.2970631026477437, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.5, ""b_x"" => 3, ""h_y"" => 0.2970631026477437, ""b_y"" => 7, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
2.0,1.0,0.4616834904240501,0.27724928808246835,-8.023641923399216e-6,0.13505096970210412,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.6927225774832113, ""h_x"" => 0.6927225774832113, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.2970631026477437, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.5, ""b_x"" => 3, ""h_y"" => 0.2970631026477437, ""b_y"" => 7, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
3.0,0.0,0.13478751233288802,0.06715871807527896,-1.1585258891416705e-5,0.1443760441275031,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.6927225774832113, ""h_x"" => 0.6927225774832113, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.2970631026477437, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.5, ""b_x"" => 3, ""h_y"" => 0.2970631026477437, ""b_y"" => 7, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
3.0,0.1111111111111111,0.20510640731011173,0.10259314352096009,-1.0927734216015228e-5,0.13711978249817403,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.6927225774832113, ""h_x"" => 0.6927225774832113, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.2970631026477437, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.5, ""b_x"" => 3, ""h_y"" => 0.2970631026477437, ""b_y"" => 7, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
3.0,0.2222222222222222,0.26865926865026235,0.13449084181463367,-1.0335943042977247e-5,0.13205072735555637,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.6927225774832113, ""h_x"" => 0.6927225774832113, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.2970631026477437, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.5, ""b_x"" => 3, ""h_y"" => 0.2970631026477437, ""b_y"" => 7, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
3.0,0.3333333333333333,0.32664370166090484,0.16350907901984307,-9.820368701063398e-6,0.12829521999267834,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.6927225774832113, ""h_x"" => 0.6927225774832113, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.2970631026477437, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.5, ""b_x"" => 3, ""h_y"" => 0.2970631026477437, ""b_y"" => 7, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
3.0,0.4444444444444444,0.37997947864572323,0.19018096235779935,-9.373181624222626e-6,0.12538022455979422,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.6927225774832113, ""h_x"" => 0.6927225774832113, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.2970631026477437, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.5, ""b_x"" => 3, ""h_y"" => 0.2970631026477437, ""b_y"" => 7, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
3.0,0.5555555555555556,0.42936138976826704,0.21487448532282208,-8.983484942881592e-6,0.12303269510107005,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.6927225774832113, ""h_x"" => 0.6927225774832113, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.2970631026477437, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.5, ""b_x"" => 3, ""h_y"" => 0.2970631026477437, ""b_y"" => 7, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
3.0,0.6666666666666666,0.47533540558491805,0.2378652781593985,-8.641109884410803e-6,0.12108425199467063,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.6927225774832113, ""h_x"" => 0.6927225774832113, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.2970631026477437, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.5, ""b_x"" => 3, ""h_y"" => 0.2970631026477437, ""b_y"" => 7, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
3.0,0.7777777777777778,0.5183414298880066,0.25937297775658125,-8.337505014749391e-6,0.11942571142732913,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.6927225774832113, ""h_x"" => 0.6927225774832113, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.2970631026477437, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.5, ""b_x"" => 3, ""h_y"" => 0.2970631026477437, ""b_y"" => 7, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
3.0,0.8888888888888888,0.5587395539284888,0.27957713571078746,-8.065758793945887e-6,0.11798353698063745,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.6927225774832113, ""h_x"" => 0.6927225774832113, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.2970631026477437, ""M"" => 1, ""phi"" => 1.0, ""s_ay"" => 0.5, ""b_x"" => 3, ""h_y"" => 0.2970631026477437, ""b_y"" => 7, ""s_x"" => 0.5, ""p_a"" => 0.25, ""s_ax"" => 0.5)",css found
